firmware_version,days_since_release,error_count
10.146.6,8,4
10.146.6,11,3
10.146.6,13,1
10.146.6,14,2
10.146.6,15,3
10.146.6,18,1
10.146.6,19,1
10.146.6,20,2
10.146.6,21,2
10.146.6,22,1
10.146.6,24,3
10.146.6,25,2
10.146.6,26,2
10.146.6,27,2
10.146.6,30,3
10.146.6,31,1
10.146.6,32,1
10.146.6,33,1
10.146.6,34,1
10.146.6,35,1
10.146.6,36,2
10.146.6,37,2
10.146.6,40,1
10.146.6,42,1
10.146.6,43,1
10.146.6,44,1
10.146.7,0,2
10.146.7,1,3
10.146.7,2,1
10.146.7,3,1
10.146.7,5,1
10.146.7,9,2
10.146.7,10,5
10.146.7,11,2
10.146.7,12,3
10.146.7,14,5
10.146.7,15,2
10.146.7,17,1
10.146.7,18,3
10.146.7,20,1
10.146.7,21,2
10.146.7,22,3
10.146.7,24,1
10.146.7,25,2
10.146.7,26,2
10.146.7,27,3
10.146.7,28,1
10.146.7,29,2
10.146.7,30,1
10.146.7,31,1
10.146.7,32,1
10.146.7,33,3
10.146.7,34,1
10.146.7,35,2
10.146.7,37,1
10.146.7,38,2
10.146.7,41,2
10.146.7,42,2
10.146.7,43,1
10.146.8,1,2
10.146.8,2,2
10.146.8,4,2
10.146.8,5,1
10.146.8,6,2
10.146.8,7,1
10.146.8,8,2
10.146.8,10,2
10.146.8,11,1
10.146.8,12,1
10.146.8,14,1
10.146.8,16,2
10.146.8,17,1
10.146.8,18,2
10.146.8,19,1
10.146.8,20,1
10.146.8,21,1
10.146.8,23,1
10.146.8,24,1
10.146.8,25,1
10.146.8,26,2
10.146.8,29,2
10.146.8,31,1
10.146.8,34,1
10.146.8,35,1
10.146.8,38,1
10.146.8,39,2
10.146.8,41,1
10.146.8,42,1
10.146.8,43,1
10.147.0,0,1
10.147.0,1,2
10.147.0,2,1
10.147.0,4,1
10.147.0,7,5
10.147.0,9,1
10.147.0,10,3
10.147.0,11,2
10.147.0,12,1
10.147.0,13,1
10.147.0,14,1
10.147.0,15,4
10.147.0,16,2
10.147.0,19,1
10.147.0,20,3
10.147.0,22,1
10.147.0,23,2
10.147.0,24,3
10.147.0,25,1
10.147.0,27,1
10.147.0,28,1
10.147.0,29,2
10.147.0,31,2
10.147.0,33,1
10.147.0,34,1
10.147.0,37,3
10.147.0,38,3
10.147.0,42,1
10.147.0,43,1
10.147.0,44,2
10.147.1,0,1
10.147.1,3,2
10.147.1,4,1
10.147.1,5,2
10.147.1,6,3
10.147.1,7,1
10.147.1,8,2
10.147.1,9,1
10.147.1,10,3
10.147.1,11,2
10.147.1,12,1
10.147.1,13,1
10.147.1,14,2
10.147.1,15,1
10.147.1,17,3
10.147.1,18,1
10.147.1,19,1
10.147.1,20,2
10.147.1,22,2
10.147.1,23,3
10.147.1,25,1
10.147.1,26,1
10.147.1,27,1
10.147.1,28,1
10.147.1,29,3
10.147.1,30,1
10.147.1,31,3
10.147.1,32,3
10.147.1,33,2
10.147.1,34,1
10.147.1,35,2
10.147.1,36,3
10.147.1,37,3
10.147.1,39,2
10.147.1,40,4
10.147.1,41,1
10.147.1,42,2
10.147.1,43,2
10.147.1,44,1
10.148.0,0,1
10.148.0,1,1
10.148.0,4,3
10.148.0,5,2
10.148.0,6,1
10.148.0,7,1
10.148.0,8,2
10.148.0,9,2
10.148.0,10,1
10.148.0,11,1
10.148.0,12,1
10.148.0,15,2
10.148.0,17,1
10.148.0,18,3
10.148.0,19,1
10.148.0,20,1
10.148.0,21,2
10.148.0,22,1
10.148.0,27,1
10.148.0,28,1
10.148.0,29,1
10.148.0,30,3
10.148.0,31,1
10.148.0,32,1
10.148.0,34,2
10.148.0,35,1
10.148.0,37,2
10.148.0,38,2
10.148.0,39,1
10.148.0,40,1
10.148.0,41,1
10.148.0,43,1
10.148.0,44,2
10.148.1,0,3
10.148.1,1,1
10.148.1,2,2
10.148.1,3,2
10.148.1,4,2
10.148.1,5,1
10.148.1,6,2
10.148.1,7,2
10.148.1,8,2
10.148.1,9,3
10.148.1,12,1
10.148.1,13,3
10.148.1,14,1
10.148.1,16,1
10.148.1,17,2
10.148.1,18,3
10.148.1,20,1
10.148.1,21,1
10.148.1,22,1
10.148.1,23,2
10.148.1,24,1
10.148.1,25,2
10.148.1,27,1
10.148.1,30,1
10.148.1,31,3
10.148.1,32,1
10.148.1,33,1
10.148.1,34,1
10.148.1,35,1
10.148.1,36,2
10.148.1,40,1
10.148.1,41,2
10.148.1,42,2
10.148.1,44,1
10.149.0,0,1
10.149.0,1,2
10.149.0,2,3
10.149.0,3,1
10.149.0,4,3
10.149.0,5,4
10.149.0,6,3
10.149.0,7,2
10.149.0,10,1
10.149.0,14,1
10.149.0,17,2
10.149.0,18,1
10.149.0,20,3
10.149.0,23,3
10.149.0,24,2
10.149.0,25,1
10.149.0,26,1
10.149.0,27,1
10.149.0,28,1
10.149.0,29,1
10.149.0,31,1
10.149.0,32,2
10.149.0,33,1
10.149.0,35,1
10.149.0,36,1
10.149.0,37,2
10.149.0,40,4
10.149.0,42,2
10.149.0,44,1
10.149.1,1,1
10.149.1,2,2
10.149.1,5,2
10.149.1,7,2
10.149.1,8,1
10.149.1,10,1
10.149.1,11,1
10.149.1,13,1
10.149.1,14,1
10.149.1,15,1
10.149.1,18,4
10.149.1,20,1
10.149.1,21,1
10.149.1,22,1
10.149.1,23,1
10.149.1,24,3
10.149.1,25,1
10.149.1,26,1
10.149.1,27,1
10.149.1,28,2
10.149.1,29,1
10.149.1,31,1
10.149.1,32,2
10.149.1,33,3
10.149.1,34,2
10.149.1,36,2
10.149.1,37,2
10.149.1,38,2
10.149.1,42,1
10.149.1,43,1
10.149.2,0,1
10.149.2,1,1
10.149.2,2,1
10.149.2,3,3
10.149.2,4,3
10.149.2,6,1
10.149.2,7,1
10.149.2,8,2
10.149.2,9,2
10.149.2,10,1
10.149.2,11,5
10.149.2,12,2
10.149.2,13,2
10.149.2,17,1
10.149.2,18,2
10.149.2,19,1
10.149.2,21,1
10.149.2,22,1
10.149.2,25,1
10.149.2,26,2
10.149.2,27,1
10.149.2,28,1
10.149.2,32,2
10.149.2,33,3
10.149.2,35,1
10.149.2,36,3
10.149.2,44,1
10.149.3,0,2
10.149.3,1,2
10.149.3,2,1
10.149.3,3,3
10.149.3,4,3
10.149.3,8,1
10.149.3,9,2
10.149.3,11,4
10.149.3,15,1
10.149.3,16,1
10.149.3,19,2
10.149.3,21,1
10.149.3,22,1
10.149.3,23,1
10.149.3,24,2
10.149.3,26,1
10.149.3,27,2
10.149.3,28,2
10.149.3,29,2
10.149.3,31,2
10.149.3,32,1
10.149.3,33,1
10.149.3,34,1
10.149.3,36,1
10.149.3,38,4
10.149.3,39,2
10.149.3,40,1
10.149.3,41,2
10.149.3,42,1
10.149.3,43,1
10.149.4,0,1
10.149.4,2,1
10.149.4,4,1
10.149.4,6,1
10.149.4,7,1
10.149.4,8,1
10.149.4,10,2
10.149.4,12,1
10.149.4,13,1
10.149.4,14,1
10.149.4,16,2
10.149.4,18,1
10.149.4,22,3
10.149.4,23,1
10.149.4,26,4
10.149.4,27,2
10.149.4,28,1
10.149.4,31,1
10.149.4,32,2
10.149.4,33,1
10.149.4,34,1
10.149.4,37,1
10.149.4,40,1
10.149.4,42,4
10.149.4,44,2
10.149.5,2,1
10.149.5,3,1
10.149.5,4,1
10.149.5,7,1
10.149.5,8,2
10.149.5,9,1
10.149.5,13,1
10.149.5,14,1
10.149.5,15,2
10.149.5,16,2
10.149.5,17,2
10.149.5,20,1
10.149.5,21,1
10.149.5,24,1
10.149.5,26,2
10.149.5,29,1
10.149.5,33,2
10.149.5,35,1
10.149.5,36,1
10.149.5,38,1
10.149.5,39,3
10.149.5,41,1
10.149.5,42,2
10.149.5,44,1
10.149.6,0,1
10.149.6,1,3
10.149.6,2,2
10.149.6,3,1
10.149.6,6,1
10.149.6,7,1
10.149.6,8,2
10.149.6,9,1
10.149.6,10,4
10.149.6,14,1
10.149.6,15,1
10.149.6,16,2
10.149.6,17,2
10.149.6,18,1
10.149.6,19,2
10.149.6,21,1
10.149.6,22,1
10.149.6,25,3
10.149.6,27,2
10.149.6,28,1
10.149.6,31,2
10.149.6,33,2
10.149.6,35,1
10.149.6,37,2
10.149.6,38,1
10.149.6,39,2
10.149.6,41,1
10.149.6,42,1
10.149.6,44,2
10.149.7,0,3
10.149.7,1,3
10.149.7,2,2
10.149.7,3,1
10.149.7,4,2
10.149.7,5,2
10.149.7,6,1
10.149.7,7,1
10.149.7,8,2
10.149.7,9,3
10.149.7,10,2
10.149.7,11,2
10.149.7,12,1
10.149.7,16,2
10.149.7,17,2
10.149.7,18,2
10.149.7,19,4
10.149.7,20,2
10.149.7,22,2
10.149.7,24,2
10.149.7,26,2
10.149.7,28,1
10.149.7,29,1
10.149.7,31,2
10.149.7,32,1
10.149.7,33,1
10.149.7,34,1
10.149.7,35,3
10.149.7,36,1
10.149.7,37,1
10.149.7,38,1
10.149.7,40,2
10.149.7,41,1
10.149.7,42,2
10.149.7,44,3
10.15.0,0,1
10.15.0,1,1
10.15.0,3,2
10.15.0,4,3
10.15.0,5,4
10.15.0,6,2
10.15.0,7,2
10.15.0,9,4
10.15.0,11,1
10.15.0,12,1
10.15.0,13,1
10.15.0,15,2
10.15.0,16,2
10.15.0,18,4
10.15.0,19,4
10.15.0,20,1
10.15.0,21,3
10.15.0,22,1
10.15.0,23,2
10.15.0,24,4
10.15.0,25,1
10.15.0,27,2
10.15.0,28,1
10.15.0,30,3
10.15.0,33,1
10.15.0,34,2
10.15.0,36,3
10.15.0,37,2
10.15.0,38,1
10.15.0,39,2
10.15.0,40,2
10.15.0,41,2
10.15.0,43,1
10.15.0,44,1
10.15.1,3,2
10.15.1,4,1
10.15.1,5,2
10.15.1,8,1
10.15.1,10,3
10.15.1,11,2
10.15.1,12,2
10.15.1,15,2
10.15.1,16,1
10.15.1,18,4
10.15.1,19,1
10.15.1,20,1
10.15.1,27,2
10.15.1,28,1
10.15.1,30,1
10.15.1,32,2
10.15.1,33,1
10.15.1,35,2
10.15.1,37,2
10.15.1,39,3
10.15.1,40,2
10.15.1,42,2
10.15.2,0,1
10.15.2,1,2
10.15.2,2,1
10.15.2,4,1
10.15.2,7,1
10.15.2,9,2
10.15.2,10,1
10.15.2,11,4
10.15.2,12,3
10.15.2,14,2
10.15.2,15,1
10.15.2,16,2
10.15.2,17,1
10.15.2,19,1
10.15.2,20,1
10.15.2,21,1
10.15.2,22,3
10.15.2,23,1
10.15.2,25,1
10.15.2,26,2
10.15.2,27,1
10.15.2,28,2
10.15.2,29,2
10.15.2,30,1
10.15.2,34,1
10.15.2,35,1
10.15.2,36,2
10.15.2,37,1
10.15.2,39,2
10.15.2,40,1
10.15.2,43,1
10.15.2,44,1
10.15.3,2,1
10.15.3,5,3
10.15.3,7,2
10.15.3,8,1
10.15.3,9,1
10.15.3,10,2
10.15.3,12,2
10.15.3,16,1
10.15.3,18,2
10.15.3,24,1
10.15.3,25,1
10.15.3,26,3
10.15.3,29,1
10.15.3,30,3
10.15.3,32,3
10.15.3,34,1
10.15.3,36,2
10.15.3,37,3
10.15.3,39,1
10.15.3,40,1
10.15.3,41,1
10.15.3,43,2
10.15.3,44,1
10.15.4,0,1
10.15.4,1,1
10.15.4,3,1
10.15.4,4,1
10.15.4,6,1
10.15.4,7,1
10.15.4,8,5
10.15.4,9,1
10.15.4,11,1
10.15.4,12,2
10.15.4,14,2
10.15.4,15,1
10.15.4,16,1
10.15.4,18,2
10.15.4,19,1
10.15.4,20,1
10.15.4,21,1
10.15.4,23,3
10.15.4,24,1
10.15.4,25,1
10.15.4,26,1
10.15.4,30,1
10.15.4,35,1
10.15.4,37,2
10.15.4,39,1
10.15.4,40,1
10.15.4,41,2
10.15.4,44,6
10.15.5,0,2
10.15.5,1,1
10.15.5,4,1
10.15.5,5,1
10.15.5,7,1
10.15.5,8,1
10.15.5,9,1
10.15.5,10,1
10.15.5,11,2
10.15.5,13,4
10.15.5,14,1
10.15.5,16,1
10.15.5,17,1
10.15.5,18,2
10.15.5,20,5
10.15.5,21,1
10.15.5,22,1
10.15.5,23,1
10.15.5,24,1
10.15.5,25,1
10.15.5,26,1
10.15.5,27,1
10.15.5,28,1
10.15.5,30,2
10.15.5,31,1
10.15.5,32,1
10.15.5,34,1
10.15.5,35,1
10.15.5,36,3
10.15.5,37,3
10.15.5,38,1
10.15.5,41,2
10.15.5,42,1
10.15.5,44,1
10.15.6,0,1
10.15.6,1,1
10.15.6,3,1
10.15.6,5,2
10.15.6,6,1
10.15.6,7,1
10.15.6,8,1
10.15.6,9,2
10.15.6,12,1
10.15.6,15,4
10.15.6,17,3
10.15.6,19,2
10.15.6,20,2
10.15.6,21,3
10.15.6,23,2
10.15.6,24,5
10.15.6,25,2
10.15.6,30,1
10.15.6,31,2
10.15.6,32,1
10.15.6,33,2
10.15.6,34,1
10.15.6,35,2
10.15.6,36,1
10.15.6,38,2
10.15.6,39,1
10.15.6,41,4
10.15.6,42,1
10.150.0,1,2
10.150.0,2,3
10.150.0,3,3
10.150.0,4,1
10.150.0,5,1
10.150.0,6,2
10.150.0,7,1
10.150.0,8,3
10.150.0,9,3
10.150.0,10,2
10.150.0,11,3
10.150.0,12,1
10.150.0,13,4
10.150.0,14,1
10.150.0,15,1
10.150.0,16,4
10.150.0,17,2
10.150.0,18,2
10.150.0,19,1
10.150.0,20,2
10.150.0,21,3
10.150.0,23,3
10.150.0,24,2
10.150.0,25,4
10.150.0,26,1
10.150.0,28,2
10.150.0,29,3
10.150.0,30,1
10.150.0,32,1
10.150.0,33,1
10.150.0,34,2
10.150.0,35,3
10.150.0,36,2
10.150.0,37,2
10.150.0,39,2
10.150.0,40,1
10.150.0,41,2
10.150.0,42,3
10.150.0,43,2
10.150.0,44,2
10.150.1,1,2
10.150.1,3,1
10.150.1,5,1
10.150.1,6,1
10.150.1,7,2
10.150.1,11,1
10.150.1,12,1
10.150.1,13,1
10.150.1,15,1
10.150.1,20,1
10.150.1,23,2
10.150.1,24,2
10.150.1,28,2
10.150.1,30,1
10.150.1,31,2
10.150.1,32,1
10.150.1,33,1
10.150.1,34,1
10.150.1,37,2
10.150.1,38,1
10.150.1,39,1
10.150.1,40,1
10.150.1,42,1
10.150.1,44,2
10.150.2,0,1
10.150.2,2,1
10.150.2,3,3
10.150.2,4,1
10.150.2,5,1
10.150.2,6,1
10.150.2,7,1
10.150.2,8,1
10.150.2,9,1
10.150.2,10,1
10.150.2,12,2
10.150.2,13,1
10.150.2,14,1
10.150.2,15,1
10.150.2,17,3
10.150.2,18,2
10.150.2,19,3
10.150.2,20,1
10.150.2,21,1
10.150.2,22,2
10.150.2,23,2
10.150.2,26,1
10.150.2,27,2
10.150.2,28,2
10.150.2,30,2
10.150.2,32,5
10.150.2,34,1
10.150.2,36,1
10.150.2,37,2
10.150.2,38,1
10.150.2,39,2
10.150.2,40,1
10.150.2,41,1
10.150.2,43,2
10.150.2,44,1
10.151.0,0,1
10.151.0,1,3
10.151.0,3,1
10.151.0,5,1
10.151.0,7,2
10.151.0,11,2
10.151.0,14,2
10.151.0,15,1
10.151.0,16,2
10.151.0,17,1
10.151.0,19,2
10.151.0,20,1
10.151.0,21,2
10.151.0,22,1
10.151.0,23,2
10.151.0,24,5
10.151.0,26,1
10.151.0,29,1
10.151.0,31,1
10.151.0,32,1
10.151.0,34,3
10.151.0,35,4
10.151.0,36,1
10.151.0,37,1
10.151.0,38,3
10.151.0,41,1
10.151.0,42,3
10.151.0,43,1
10.151.0,44,1
10.151.1,0,1
10.151.1,3,2
10.151.1,4,2
10.151.1,5,1
10.151.1,6,1
10.151.1,7,1
10.151.1,9,1
10.151.1,11,2
10.151.1,12,1
10.151.1,14,1
10.151.1,15,2
10.151.1,16,2
10.151.1,17,2
10.151.1,18,3
10.151.1,19,1
10.151.1,20,1
10.151.1,21,1
10.151.1,22,1
10.151.1,23,3
10.151.1,25,3
10.151.1,27,2
10.151.1,29,2
10.151.1,30,2
10.151.1,33,3
10.151.1,34,2
10.151.1,35,1
10.151.1,37,4
10.151.1,39,2
10.151.1,40,3
10.151.1,41,1
10.151.1,42,1
10.151.1,43,1
10.151.2,0,1
10.151.2,2,1
10.151.2,3,2
10.151.2,4,2
10.151.2,5,4
10.151.2,6,2
10.151.2,7,2
10.151.2,8,1
10.151.2,9,3
10.151.2,10,4
10.151.2,12,3
10.151.2,13,1
10.151.2,16,4
10.151.2,17,3
10.151.2,18,2
10.151.2,19,1
10.151.2,22,2
10.151.2,23,3
10.151.2,25,2
10.151.2,26,1
10.151.2,27,1
10.151.2,29,2
10.151.2,31,1
10.151.2,33,1
10.151.2,34,1
10.151.2,35,1
10.151.2,36,2
10.151.2,37,1
10.151.2,39,1
10.151.2,40,4
10.151.2,42,1
10.151.2,43,2
10.151.2,44,2
10.151.3,2,2
10.151.3,3,1
10.151.3,4,1
10.151.3,5,2
10.151.3,6,2
10.151.3,7,1
10.151.3,8,1
10.151.3,9,1
10.151.3,11,2
10.151.3,12,1
10.151.3,14,1
10.151.3,15,4
10.151.3,17,1
10.151.3,19,1
10.151.3,20,1
10.151.3,21,3
10.151.3,22,1
10.151.3,25,3
10.151.3,26,1
10.151.3,27,2
10.151.3,31,1
10.151.3,32,1
10.151.3,33,3
10.151.3,36,1
10.151.3,37,2
10.151.3,38,1
10.151.3,40,1
10.151.3,41,3
10.151.3,43,1
10.151.3,44,1
10.151.4,2,1
10.151.4,4,2
10.151.4,5,1
10.151.4,6,1
10.151.4,7,2
10.151.4,8,3
10.151.4,9,1
10.151.4,10,1
10.151.4,11,2
10.151.4,12,3
10.151.4,13,2
10.151.4,14,2
10.151.4,15,1
10.151.4,16,1
10.151.4,17,2
10.151.4,18,1
10.151.4,19,3
10.151.4,20,2
10.151.4,21,2
10.151.4,22,1
10.151.4,23,3
10.151.4,25,1
10.151.4,26,2
10.151.4,27,1
10.151.4,29,2
10.151.4,30,1
10.151.4,31,1
10.151.4,32,2
10.151.4,33,2
10.151.4,34,3
10.151.4,35,1
10.151.4,37,1
10.151.4,39,2
10.151.4,40,2
10.151.4,41,1
10.151.4,44,1
10.151.5,2,2
10.151.5,4,1
10.151.5,6,1
10.151.5,7,1
10.151.5,9,1
10.151.5,10,2
10.151.5,11,2
10.151.5,13,5
10.151.5,14,1
10.151.5,15,3
10.151.5,16,2
10.151.5,17,2
10.151.5,18,1
10.151.5,20,1
10.151.5,22,1
10.151.5,26,2
10.151.5,28,2
10.151.5,29,2
10.151.5,30,2
10.151.5,31,1
10.151.5,32,1
10.151.5,34,1
10.151.5,36,1
10.151.5,37,3
10.151.5,38,1
10.151.5,40,1
10.151.5,42,1
10.151.6,0,1
10.151.6,2,1
10.151.6,3,2
10.151.6,4,3
10.151.6,5,1
10.151.6,6,1
10.151.6,7,2
10.151.6,9,1
10.151.6,10,1
10.151.6,11,1
10.151.6,12,2
10.151.6,13,1
10.151.6,14,1
10.151.6,15,1
10.151.6,17,1
10.151.6,18,1
10.151.6,23,3
10.151.6,24,2
10.151.6,26,1
10.151.6,27,2
10.151.6,29,1
10.151.6,30,1
10.151.6,31,1
10.151.6,33,1
10.151.6,35,1
10.151.6,37,2
10.151.6,38,5
10.151.6,39,2
10.151.6,40,2
10.151.6,43,1
10.151.6,44,1
10.152.0,1,2
10.152.0,2,1
10.152.0,3,2
10.152.0,4,1
10.152.0,6,1
10.152.0,7,1
10.152.0,8,2
10.152.0,10,2
10.152.0,12,1
10.152.0,13,2
10.152.0,14,2
10.152.0,15,2
10.152.0,16,3
10.152.0,17,1
10.152.0,18,2
10.152.0,19,1
10.152.0,20,1
10.152.0,21,1
10.152.0,22,1
10.152.0,23,2
10.152.0,25,1
10.152.0,26,1
10.152.0,27,1
10.152.0,28,1
10.152.0,29,3
10.152.0,30,1
10.152.0,31,1
10.152.0,33,1
10.152.0,35,1
10.152.0,36,1
10.152.0,37,2
10.152.0,41,1
10.152.0,42,2
10.152.0,44,1
10.153.0,1,1
10.153.0,2,1
10.153.0,3,2
10.153.0,4,1
10.153.0,5,1
10.153.0,6,1
10.153.0,7,1
10.153.0,8,1
10.153.0,11,2
10.153.0,12,2
10.153.0,13,1
10.153.0,14,1
10.153.0,17,2
10.153.0,18,2
10.153.0,19,1
10.153.0,20,1
10.153.0,24,1
10.153.0,25,4
10.153.0,26,2
10.153.0,29,1
10.153.0,30,1
10.153.0,31,1
10.153.0,32,1
10.153.0,35,1
10.153.0,37,1
10.153.0,38,1
10.153.0,39,2
10.153.0,40,2
10.153.0,41,1
10.153.0,43,1
10.153.0,44,1
10.153.1,1,2
10.153.1,2,1
10.153.1,3,3
10.153.1,4,2
10.153.1,5,1
10.153.1,6,1
10.153.1,9,1
10.153.1,13,1
10.153.1,15,1
10.153.1,16,1
10.153.1,17,1
10.153.1,18,1
10.153.1,19,2
10.153.1,20,2
10.153.1,21,1
10.153.1,23,4
10.153.1,25,2
10.153.1,30,3
10.153.1,33,1
10.153.1,34,2
10.153.1,36,1
10.153.1,37,1
10.153.1,38,2
10.153.1,40,1
10.153.1,41,1
10.153.1,44,2
10.154.0,0,2
10.154.0,2,1
10.154.0,4,2
10.154.0,5,1
10.154.0,7,1
10.154.0,8,1
10.154.0,9,1
10.154.0,10,1
10.154.0,14,3
10.154.0,15,1
10.154.0,16,2
10.154.0,17,2
10.154.0,18,1
10.154.0,19,1
10.154.0,20,2
10.154.0,21,3
10.154.0,22,1
10.154.0,23,1
10.154.0,24,1
10.154.0,25,1
10.154.0,26,3
10.154.0,27,1
10.154.0,30,1
10.154.0,31,3
10.154.0,32,2
10.154.0,33,2
10.154.0,34,2
10.154.0,35,4
10.154.0,36,2
10.154.0,37,2
10.154.0,38,2
10.154.0,40,1
10.154.0,41,1
10.154.0,43,1
10.154.0,44,2
10.154.1,1,1
10.154.1,3,1
10.154.1,4,3
10.154.1,5,1
10.154.1,7,3
10.154.1,9,1
10.154.1,10,1
10.154.1,16,3
10.154.1,18,1
10.154.1,19,1
10.154.1,21,1
10.154.1,23,1
10.154.1,24,1
10.154.1,25,1
10.154.1,26,1
10.154.1,27,1
10.154.1,28,1
10.154.1,30,1
10.154.1,31,1
10.154.1,32,1
10.154.1,33,2
10.154.1,34,1
10.154.1,36,1
10.154.1,37,1
10.154.1,41,2
10.154.1,42,1
10.154.1,43,2
10.154.1,44,2
10.154.2,0,3
10.154.2,1,2
10.154.2,2,3
10.154.2,3,1
10.154.2,4,1
10.154.2,5,4
10.154.2,6,1
10.154.2,7,1
10.154.2,8,1
10.154.2,9,1
10.154.2,10,1
10.154.2,14,3
10.154.2,15,2
10.154.2,17,1
10.154.2,20,3
10.154.2,23,1
10.154.2,25,2
10.154.2,28,1
10.154.2,29,1
10.154.2,30,2
10.154.2,31,2
10.154.2,33,3
10.154.2,35,1
10.154.2,36,2
10.154.2,37,3
10.154.2,38,1
10.154.2,40,1
10.154.2,41,2
10.154.2,43,2
10.154.2,44,1
10.154.3,0,1
10.154.3,3,1
10.154.3,4,2
10.154.3,5,2
10.154.3,6,1
10.154.3,8,1
10.154.3,9,1
10.154.3,10,2
10.154.3,12,1
10.154.3,13,1
10.154.3,14,2
10.154.3,15,2
10.154.3,16,1
10.154.3,17,1
10.154.3,18,4
10.154.3,20,2
10.154.3,21,1
10.154.3,23,1
10.154.3,24,1
10.154.3,25,1
10.154.3,26,1
10.154.3,27,1
10.154.3,28,1
10.154.3,30,1
10.154.3,31,2
10.154.3,32,2
10.154.3,34,1
10.154.3,35,1
10.154.3,36,2
10.154.3,38,2
10.154.3,39,2
10.154.3,41,1
10.154.3,42,1
10.154.3,43,1
10.154.4,0,1
10.154.4,2,2
10.154.4,4,3
10.154.4,5,2
10.154.4,6,1
10.154.4,7,2
10.154.4,9,1
10.154.4,10,2
10.154.4,11,2
10.154.4,12,3
10.154.4,13,3
10.154.4,14,4
10.154.4,15,5
10.154.4,16,3
10.154.4,17,2
10.154.4,21,1
10.154.4,22,1
10.154.4,24,2
10.154.4,25,2
10.154.4,26,1
10.154.4,28,1
10.154.4,29,1
10.154.4,30,1
10.154.4,33,2
10.154.4,35,1
10.154.4,38,1
10.154.4,39,2
10.154.4,41,1
10.154.4,42,1
10.154.4,44,1
10.154.5,1,5
10.154.5,2,1
10.154.5,4,2
10.154.5,5,1
10.154.5,6,1
10.154.5,7,1
10.154.5,8,1
10.154.5,10,2
10.154.5,11,4
10.154.5,12,1
10.154.5,13,2
10.154.5,14,1
10.154.5,15,3
10.154.5,16,4
10.154.5,17,1
10.154.5,22,3
10.154.5,23,1
10.154.5,24,1
10.154.5,25,2
10.154.5,26,1
10.154.5,27,1
10.154.5,28,3
10.154.5,30,2
10.154.5,32,1
10.154.5,33,1
10.154.5,35,2
10.154.5,38,2
10.154.5,39,1
10.154.5,40,3
10.154.5,44,2
10.154.6,0,2
10.154.6,1,1
10.154.6,2,1
10.154.6,3,3
10.154.6,4,2
10.154.6,6,1
10.154.6,7,1
10.154.6,9,3
10.154.6,11,1
10.154.6,12,1
10.154.6,14,1
10.154.6,15,1
10.154.6,16,1
10.154.6,17,1
10.154.6,18,1
10.154.6,20,1
10.154.6,21,1
10.154.6,27,1
10.154.6,28,2
10.154.6,29,1
10.154.6,32,3
10.154.6,33,1
10.154.6,34,2
10.154.6,39,2
10.154.6,40,1
10.154.6,42,3
10.154.7,1,2
10.154.7,2,2
10.154.7,3,2
10.154.7,4,1
10.154.7,5,1
10.154.7,6,3
10.154.7,7,2
10.154.7,8,2
10.154.7,9,2
10.154.7,13,1
10.154.7,15,2
10.154.7,17,3
10.154.7,18,2
10.154.7,21,1
10.154.7,25,2
10.154.7,26,1
10.154.7,27,2
10.154.7,28,2
10.154.7,30,2
10.154.7,32,1
10.154.7,33,3
10.154.7,34,1
10.154.7,35,1
10.154.7,36,2
10.154.7,37,1
10.154.7,38,2
10.154.7,39,2
10.154.7,41,2
10.154.7,42,2
10.154.7,43,2
10.154.7,44,1
10.155.0,0,1
10.155.0,1,2
10.155.0,2,2
10.155.0,3,1
10.155.0,5,1
10.155.0,8,2
10.155.0,9,3
10.155.0,10,1
10.155.0,11,1
10.155.0,12,1
10.155.0,13,2
10.155.0,14,1
10.155.0,15,3
10.155.0,16,1
10.155.0,17,4
10.155.0,18,3
10.155.0,19,3
10.155.0,20,1
10.155.0,21,2
10.155.0,22,2
10.155.0,23,2
10.155.0,25,1
10.155.0,27,2
10.155.0,28,2
10.155.0,29,3
10.155.0,30,1
10.155.0,31,1
10.155.0,33,2
10.155.0,34,2
10.155.0,35,1
10.155.0,36,1
10.155.0,37,2
10.155.0,38,2
10.155.0,39,1
10.155.0,40,1
10.155.0,41,3
10.155.0,42,1
10.155.0,44,5
10.155.1,2,1
10.155.1,3,5
10.155.1,4,4
10.155.1,6,1
10.155.1,7,1
10.155.1,8,1
10.155.1,9,2
10.155.1,10,1
10.155.1,12,2
10.155.1,13,3
10.155.1,14,1
10.155.1,15,1
10.155.1,16,1
10.155.1,17,1
10.155.1,19,1
10.155.1,20,1
10.155.1,21,1
10.155.1,22,1
10.155.1,23,2
10.155.1,25,1
10.155.1,26,1
10.155.1,28,2
10.155.1,29,2
10.155.1,30,1
10.155.1,31,5
10.155.1,32,1
10.155.1,33,1
10.155.1,34,3
10.155.1,35,1
10.155.1,36,1
10.155.1,38,2
10.155.1,39,4
10.155.1,40,3
10.155.1,42,2
10.155.1,44,1
10.156.0,0,2
10.156.0,2,3
10.156.0,3,2
10.156.0,4,1
10.156.0,5,1
10.156.0,7,1
10.156.0,8,1
10.156.0,9,1
10.156.0,10,1
10.156.0,11,2
10.156.0,12,1
10.156.0,13,2
10.156.0,21,1
10.156.0,22,2
10.156.0,23,1
10.156.0,24,3
10.156.0,26,2
10.156.0,27,3
